# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	369034	371916	-						2907523	YALI1_B03719g	2883		partial;old_locus_tag=YALI2_B00608g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	369034	371916	-	XM_500423.3		XP_500423.3	uncharacterized protein		2907523	YALI1_B03719g	2883	2883	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	369034	371916	-	XP_500423.3		XM_500423.3	uncharacterized protein		2907523	YALI1_B03719g	2883	960	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	373506	376136	-						2906606	YALI1_B03761g	2631		partial;old_locus_tag=YALI2_B00607g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	373506	376136	-	XM_500424.4		XP_500424.4	uncharacterized protein		2906606	YALI1_B03761g	2631	2631	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	373506	376136	-	XP_500424.4		XM_500424.4	uncharacterized protein		2906606	YALI1_B03761g	2631	876	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	379706	379954	+						7009394	YALI1_B03797g	249		partial;old_locus_tag=YALI2_B00042g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	379706	379954	+	XM_002142962.3		XP_002142998.1	uncharacterized protein		7009394	YALI1_B03797g	249	249	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	379706	379954	+	XP_002142998.1		XM_002142962.3	uncharacterized protein		7009394	YALI1_B03797g	249	82	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	380712	381611	+						2906848	YALI1_B03807g	900		partial;old_locus_tag=YALI2_B00043g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	380712	381611	+	XM_500425.3		XP_500425.3	uncharacterized protein		2906848	YALI1_B03807g	900	900	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	380712	381611	+	XP_500425.3		XM_500425.3	uncharacterized protein		2906848	YALI1_B03807g	900	299	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	383204	383965	+						2906849	YALI1_B03832g	762		partial;old_locus_tag=YALI2_B00044g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	383204	383965	+	XM_500426.3		XP_500426.3	uncharacterized protein		2906849	YALI1_B03832g	762	762	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	383204	383965	+	XP_500426.3		XM_500426.3	uncharacterized protein		2906849	YALI1_B03832g	762	253	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	385324	386028	+						2906646	YALI1_B03853g	705		partial;old_locus_tag=YALI2_B00045g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	385324	386028	+	XM_500427.3		XP_500427.3	uncharacterized protein		2906646	YALI1_B03853g	705	705	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	385324	386028	+	XP_500427.3		XM_500427.3	uncharacterized protein		2906646	YALI1_B03853g	705	234	
gene	tRNA	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	386766	386851	+						2906771	YALI1_B03867r	86		old_locus_tag=YALI2_B00006t
tRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	386766	386851	+				tRNA-Thr		2906771	YALI1_B03867r	86		
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	387107	391859	-						2906684	YALI1_B03910g	4753		partial;old_locus_tag=YALI2_B00606g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	387107	391859	-	XM_500428.3		XP_500428.1	uncharacterized protein		2906684	YALI1_B03910g	4458	4458	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	387107	391859	-	XP_500428.1		XM_500428.3	uncharacterized protein		2906684	YALI1_B03910g	4458	1485	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	394643	396352	-						2906687	YALI1_B03963g	1710		partial;old_locus_tag=YALI2_B00605g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	394643	396352	-	XM_500429.3		XP_500429.1	uncharacterized protein		2906687	YALI1_B03963g	1710	1710	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	394643	396352	-	XP_500429.1		XM_500429.3	uncharacterized protein		2906687	YALI1_B03963g	1710	569	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	397948	400239	+						2907569	YALI1_B03979g	2292		partial;old_locus_tag=YALI2_B00046g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	397948	400239	+	XM_500430.3		XP_500430.1	uncharacterized protein		2907569	YALI1_B03979g	2292	2292	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	397948	400239	+	XP_500430.1		XM_500430.3	uncharacterized protein		2907569	YALI1_B03979g	2292	763	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	400786	402120	+						2906958	YALI1_B04007g	1335		partial;old_locus_tag=YALI2_B00047g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	400786	402120	+	XM_500431.3		XP_500431.3	uncharacterized protein		2906958	YALI1_B04007g	1335	1335	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	400786	402120	+	XP_500431.3		XM_500431.3	uncharacterized protein		2906958	YALI1_B04007g	1335	444	
gene	tRNA	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	402226	402316	-						2907200	YALI1_B04023r	91		old_locus_tag=YALI2_B00007t
tRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	402226	402316	-				tRNA-Phe		2907200	YALI1_B04023r	91		
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	403254	405230	+						2907201	YALI1_B04032g	1977		partial;old_locus_tag=YALI2_B00048g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	403254	405230	+	XM_500432.3		XP_500432.3	uncharacterized protein		2907201	YALI1_B04032g	1977	1977	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	403254	405230	+	XP_500432.3		XM_500432.3	uncharacterized protein		2907201	YALI1_B04032g	1977	658	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	406865	410494	+						2906896	YALI1_B04068g	3630		partial;old_locus_tag=YALI2_B00049g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	406865	410494	+	XM_500433.3		XP_500433.3	uncharacterized protein		2906896	YALI1_B04068g	3630	3630	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	406865	410494	+	XP_500433.3		XM_500433.3	uncharacterized protein		2906896	YALI1_B04068g	3630	1209	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	410762	412369	-						2906997	YALI1_B04123g	1608		partial;old_locus_tag=YALI2_B00604g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	410762	412369	-	XM_500434.3		XP_500434.3	uncharacterized protein		2906997	YALI1_B04123g	1608	1608	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	410762	412369	-	XP_500434.3		XM_500434.3	uncharacterized protein		2906997	YALI1_B04123g	1608	535	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	413898	414686	+						2907141	YALI1_B04138g	789		partial;old_locus_tag=YALI2_B00050g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	413898	414686	+	XM_500435.3		XP_500435.2	uncharacterized protein		2907141	YALI1_B04138g	789	789	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	413898	414686	+	XP_500435.2		XM_500435.3	uncharacterized protein		2907141	YALI1_B04138g	789	262	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	415330	420556	-						2907254	YALI1_B04200g	5227		partial;old_locus_tag=YALI2_B00603g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	415330	420556	-	XM_500436.3		XP_500436.3	uncharacterized protein		2907254	YALI1_B04200g	4962	4962	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	415330	420556	-	XP_500436.3		XM_500436.3	uncharacterized protein		2907254	YALI1_B04200g	4962	1653	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	421286	422584	+						2907316	YALI1_B04212g	1299		partial;old_locus_tag=YALI2_B00051g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	421286	422584	+	XM_500437.3		XP_500437.1	uncharacterized protein		2907316	YALI1_B04212g	1299	1299	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	421286	422584	+	XP_500437.1		XM_500437.3	uncharacterized protein		2907316	YALI1_B04212g	1299	432	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	422800	424166	+						2907380	YALI1_B04228g	1367		partial;old_locus_tag=YALI2_B00052g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	422800	424166	+	XM_068281959.1		XP_068138060.1	uncharacterized protein		2907380	YALI1_B04228g	1140	1140	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	422800	424166	+	XP_068138060.1		XM_068281959.1	uncharacterized protein		2907380	YALI1_B04228g	1140	379	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	424838	426355	+						2907453	YALI1_B04248g	1518		partial;old_locus_tag=YALI2_B00053g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	424838	426355	+	XM_500439.3		XP_500439.3	uncharacterized protein		2907453	YALI1_B04248g	1518	1518	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	424838	426355	+	XP_500439.3		XM_500439.3	uncharacterized protein		2907453	YALI1_B04248g	1518	505	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	427429	430092	+						2907543	YALI1_B04274g	2664		partial;old_locus_tag=YALI2_B00054g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	427429	430092	+	XM_500440.3		XP_500440.3	uncharacterized protein		2907543	YALI1_B04274g	2664	2664	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	427429	430092	+	XP_500440.3		XM_500440.3	uncharacterized protein		2907543	YALI1_B04274g	2664	887	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	430537	431142	-						2907509	YALI1_B04309g	606		partial;old_locus_tag=YALI2_B00602g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	430537	431142	-	XM_500441.3		XP_500441.1	uncharacterized protein		2907509	YALI1_B04309g	516	516	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	430537	431142	-	XP_500441.1		XM_500441.3	uncharacterized protein		2907509	YALI1_B04309g	516	171	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	432160	435099	+						2907541	YALI1_B04321g	2940		partial;old_locus_tag=YALI2_B00055g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	432160	435099	+	XM_500442.3		XP_500442.3	uncharacterized protein		2907541	YALI1_B04321g	2940	2940	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	432160	435099	+	XP_500442.3		XM_500442.3	uncharacterized protein		2907541	YALI1_B04321g	2940	979	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	435388	437061	-						2907542	YALI1_B04370g	1674		partial;old_locus_tag=YALI2_B00601g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	435388	437061	-	XM_500443.3		XP_500443.3	uncharacterized protein		2907542	YALI1_B04370g	1674	1674	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	435388	437061	-	XP_500443.3		XM_500443.3	uncharacterized protein		2907542	YALI1_B04370g	1674	557	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	437464	439149	-						90949518	YALI1_B04391g	1686		partial;old_locus_tag=YALI2_B00600g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	437464	439149	-	XM_066094127.2		XP_065950199.2	uncharacterized protein		90949518	YALI1_B04391g	1686	1686	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	437464	439149	-	XP_065950199.2		XM_066094127.2	uncharacterized protein		90949518	YALI1_B04391g	1686	561	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	443382	445169	+						2906777	YALI1_B04433g	1788		partial;old_locus_tag=YALI2_B00056g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	443382	445169	+	XM_500444.3		XP_500444.3	uncharacterized protein		2906777	YALI1_B04433g	1197	1197	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	443382	445169	+	XP_500444.3		XM_500444.3	uncharacterized protein		2906777	YALI1_B04433g	1197	398	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	446248	446670	-						2906789	YALI1_B04466g	423		partial;old_locus_tag=YALI2_B00599g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	446248	446670	-	XM_500445.4		XP_500445.4	uncharacterized protein		2906789	YALI1_B04466g	423	423	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	446248	446670	-	XP_500445.4		XM_500445.4	uncharacterized protein		2906789	YALI1_B04466g	423	140	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	447059	447661	+						2906790	YALI1_B04470g	603		partial;old_locus_tag=YALI2_B00057g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	447059	447661	+	XM_500446.3		XP_500446.2	uncharacterized protein		2906790	YALI1_B04470g	603	603	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	447059	447661	+	XP_500446.2		XM_500446.3	uncharacterized protein		2906790	YALI1_B04470g	603	200	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	448044	449711	-						2906794	YALI1_B04497g	1668		partial;old_locus_tag=YALI2_B00598g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	448044	449711	-	XM_500447.3		XP_500447.2	uncharacterized protein		2906794	YALI1_B04497g	1668	1668	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	448044	449711	-	XP_500447.2		XM_500447.3	uncharacterized protein		2906794	YALI1_B04497g	1668	555	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	450212	450910	+						2906953	YALI1_B04502g	699		partial;old_locus_tag=YALI2_B00058g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	450212	450910	+	XM_500448.3		XP_500448.3	uncharacterized protein		2906953	YALI1_B04502g	699	699	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	450212	450910	+	XP_500448.3		XM_500448.3	uncharacterized protein		2906953	YALI1_B04502g	699	232	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	451058	452371	-						2906897	YALI1_B04523g	1314		partial;old_locus_tag=YALI2_B00597g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	451058	452371	-	XM_500449.3		XP_500449.1	uncharacterized protein		2906897	YALI1_B04523g	1314	1314	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	451058	452371	-	XP_500449.1		XM_500449.3	uncharacterized protein		2906897	YALI1_B04523g	1314	437	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	453201	454592	-						2906872	YALI1_B04540g	1392		partial;old_locus_tag=YALI2_B00596g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	453201	454592	-	XM_002142963.3		XP_002142999.3	uncharacterized protein		2906872	YALI1_B04540g	894	894	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	453201	454592	-	XP_002142999.3		XM_002142963.3	uncharacterized protein		2906872	YALI1_B04540g	894	297	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	455918	457045	+						2906873	YALI1_B04559g	1128		partial;old_locus_tag=YALI2_B00059g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	455918	457045	+	XM_500450.3		XP_500450.1	uncharacterized protein		2906873	YALI1_B04559g	1128	1128	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	455918	457045	+	XP_500450.1		XM_500450.3	uncharacterized protein		2906873	YALI1_B04559g	1128	375	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	457459	457825	-						94582620	YALI1_B04577g	367		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	457459	457825	-	XM_068281960.1		XP_068138061.1	uncharacterized protein		94582620	YALI1_B04577g	321	321	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	457459	457825	-	XP_068138061.1		XM_068281960.1	uncharacterized protein		94582620	YALI1_B04577g	321	106	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	457901	458187	+						94582621	YALI1_B04579g	287		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	457901	458187	+	XM_068281961.1		XP_068138062.1	uncharacterized protein		94582621	YALI1_B04579g	243	243	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	457901	458187	+	XP_068138062.1		XM_068281961.1	uncharacterized protein		94582621	YALI1_B04579g	243	80	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	458906	459679	+						2906895	YALI1_B04589g	774		partial;old_locus_tag=YALI2_B00060g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	458906	459679	+	XM_500451.3		XP_500451.1	uncharacterized protein		2906895	YALI1_B04589g	774	774	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	458906	459679	+	XP_500451.1		XM_500451.3	uncharacterized protein		2906895	YALI1_B04589g	774	257	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	462698	464438	-						2906995	YALI1_B04637g	1741		partial;old_locus_tag=YALI2_B00595g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	462698	464438	-	XM_002142964.3		XP_002143000.3	uncharacterized protein		2906995	YALI1_B04637g	1668	1668	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	462698	464438	-	XP_002143000.3		XM_002142964.3	uncharacterized protein		2906995	YALI1_B04637g	1668	555	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	466096	466425	-						94582622	YALI1_B04663g	330		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	466096	466425	-	XM_068281962.1		XP_068138063.1	uncharacterized protein		94582622	YALI1_B04663g	279	279	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	466096	466425	-	XP_068138063.1		XM_068281962.1	uncharacterized protein		94582622	YALI1_B04663g	279	92	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	469018	469665	+						94582623	YALI1_B04690g	648		partial;old_locus_tag=YALI2_B00061g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	469018	469665	+	XM_068281963.1		XP_068138064.1	uncharacterized protein		94582623	YALI1_B04690g	600	600	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	469018	469665	+	XP_068138064.1		XM_068281963.1	uncharacterized protein		94582623	YALI1_B04690g	600	199	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	469670	470362	-						94582624	YALI1_B04703g	693		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	469670	470362	-	XM_068281964.1		XP_068138065.1	uncharacterized protein		94582624	YALI1_B04703g	693	693	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	469670	470362	-	XP_068138065.1		XM_068281964.1	uncharacterized protein		94582624	YALI1_B04703g	693	230	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	473881	474783	-						2907075	YALI1_B04747g	903		partial;old_locus_tag=YALI2_B00594g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	473881	474783	-	XM_500452.1		XP_500452.1	uncharacterized protein		2907075	YALI1_B04747g	903	903	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	473881	474783	-	XP_500452.1		XM_500452.1	uncharacterized protein		2907075	YALI1_B04747g	903	300	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	475300	476170	+						94582625	YALI1_B04753g	871		partial
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	475300	476170	+	XM_068281965.1		XP_068138066.1	uncharacterized protein		94582625	YALI1_B04753g	609	609	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	475300	476170	+	XP_068138066.1		XM_068281965.1	uncharacterized protein		94582625	YALI1_B04753g	609	202	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	475910	476694	+						2907119	YALI1_B04759g	785		partial;old_locus_tag=YALI2_B00062g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	475910	476694	+	XM_500453.4		XP_500453.4	uncharacterized protein		2907119	YALI1_B04759g	645	645	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	475910	476694	+	XP_500453.4		XM_500453.4	uncharacterized protein		2907119	YALI1_B04759g	645	214	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	476880	477929	-						2907216	YALI1_B04779g	1050		partial;old_locus_tag=YALI2_B00593g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	476880	477929	-	XM_500454.3		XP_500454.2	uncharacterized protein		2907216	YALI1_B04779g	1050	1050	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	476880	477929	-	XP_500454.2		XM_500454.3	uncharacterized protein		2907216	YALI1_B04779g	1050	349	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	478198	479508	+						2907217	YALI1_B04781g	1311		partial;old_locus_tag=YALI2_B00063g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	478198	479508	+	XM_500455.3		XP_500455.3	uncharacterized protein		2907217	YALI1_B04781g	1311	1311	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	478198	479508	+	XP_500455.3		XM_500455.3	uncharacterized protein		2907217	YALI1_B04781g	1311	436	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	480314	481033	+						2907265	YALI1_B04803g	720		partial;old_locus_tag=YALI2_B00064g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	480314	481033	+	XM_500456.3		XP_500456.1	uncharacterized protein		2907265	YALI1_B04803g	720	720	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	480314	481033	+	XP_500456.1		XM_500456.3	uncharacterized protein		2907265	YALI1_B04803g	720	239	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	483130	484092	+						2907253	YALI1_B04831g	963		partial;old_locus_tag=YALI2_B00065g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	483130	484092	+	XM_500457.3		XP_500457.3	uncharacterized protein		2907253	YALI1_B04831g	963	963	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	483130	484092	+	XP_500457.3		XM_500457.3	uncharacterized protein		2907253	YALI1_B04831g	963	320	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	484779	486044	-						2907454	YALI1_B04853g	1266		partial;old_locus_tag=YALI2_B00592g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	484779	486044	-	XM_500458.3		XP_500458.2	uncharacterized protein		2907454	YALI1_B04853g	732	732	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	484779	486044	-	XP_500458.2		XM_500458.3	uncharacterized protein		2907454	YALI1_B04853g	732	243	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	487321	488607	+						2907496	YALI1_B04873g	1287		partial;old_locus_tag=YALI2_B00066g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	487321	488607	+	XM_500459.3		XP_500459.3	uncharacterized protein		2907496	YALI1_B04873g	1287	1287	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	487321	488607	+	XP_500459.3		XM_500459.3	uncharacterized protein		2907496	YALI1_B04873g	1287	428	
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	488866	490113	-						2907064	YALI1_B04901g	1248		partial;old_locus_tag=YALI2_B00591g
mRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	488866	490113	-	XM_500460.3		XP_500460.1	uncharacterized protein		2907064	YALI1_B04901g	1248	1248	partial
CDS	with_protein	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	488866	490113	-	XP_500460.1		XM_500460.3	uncharacterized protein		2907064	YALI1_B04901g	1248	415	
gene	tRNA	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	491013	491095	-						2906742	YALI1_B04910r	83		old_locus_tag=YALI2_B00008t
tRNA		GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	491013	491095	-				tRNA-Lys		2906742	YALI1_B04910r	83		
gene	protein_coding	GCF_001761485.1	Primary Assembly	chromosome	1B	NC_090771.1	491503	493722	-						2906743	YALI1_B04937g	2220		partial;old_locus_tag=YALI2_B00590g
