yali1,yali0,geneid,metab_pathways,ec,verdict,in_model
YALI1_A13100g,YALI0A13101g,2906455,,,non_metabolic,no
YALI1_A13349g,YALI0A13277g,2906209,,,non_metabolic,no
YALI1_A14345g,YALI0A14542g,2906430,,,non_metabolic,no
YALI1_A14658g,YALI0A14707g,2906166,,,non_metabolic,no
YALI1_A16121g,YALI0A16214g,2906019,,,non_metabolic,no
YALI1_A16501g,YALI0A16566g,2905913,,,non_metabolic,no
YALI1_A16509g,YALI0A16588g,2906544,,,non_metabolic,no
YALI1_A16745g,YALI0A16775g,2906164,,,non_metabolic,no
YALI1_A16770g,YALI0A16797g,2905912,,,non_metabolic,no
YALI1_A17177g,YALI0A17127g,2905792,,,non_metabolic,no
YALI1_A17433g,YALI0A17292g,2905901,,,non_metabolic,no
YALI1_A17515g,YALI0A17424g,2905837,,,non_metabolic,no
YALI1_A18273g,YALI0A17985g,2906434,,,non_metabolic,no
YALI1_A18286g,YALI0A18007g,2906541,,,non_metabolic,no
YALI1_A18557g,YALI0A18205g,2906125,,,non_metabolic,no
YALI1_A19483g,YALI0A18612g,2906051,,,non_metabolic,no
YALI1_A19595g,YALI0A18722g,2906433,,,non_metabolic,no
YALI1_A19965g,YALI0A19008g,2906514,,,non_metabolic,no
YALI1_A19974g,YALI0A19030g,2906318,,,non_metabolic,no
YALI1_A20793g,YALI0A19712g,2906253,,,non_metabolic,no
YALI1_A20849g,YALI0A19756g,2906025,,,non_metabolic,no
YALI1_A20855g,YALI0A19778g,2906002,,,non_metabolic,no
YALI1_A21550g,YALI0A20504g,2906605,,,non_metabolic,no
YALI1_A21565g,YALI0A20526g,2906267,,,non_metabolic,no
YALI1_A21720g,YALI0A20702g,2905785,,,non_metabolic,no
YALI1_A21775g,YALI0A20746g,2905782,,,non_metabolic,no
YALI1_A21797g,YALI0A20768g,2905781,,,non_metabolic,no
YALI1_A21919g,YALI0A20867g,7009386,,,non_metabolic,no
YALI1_A21993g,YALI0A20944g,2906012,,,non_metabolic,no
YALI1_A22008g,YALI0A20966g,2905853,,,non_metabolic,no
YALI1_A22539g,,90949362,,,non_metabolic,no
YALI1_B00198g,YALI0B00198g,2906883,,,non_metabolic,no
YALI1_B00675g,YALI0B00616g,2907170,,,non_metabolic,no
YALI1_B01628g,YALI0B00946g,2907148,,,non_metabolic,no
YALI1_B01644g,YALI0B00968g,2907073,,,non_metabolic,no
YALI1_B01698g,YALI0B00990g,2907239,,,non_metabolic,no
YALI1_B01752g,YALI0B01034g,2907624,,,non_metabolic,no
YALI1_B01839g,YALI0B01078g,2907399,,,non_metabolic,no
YALI1_B02375g,YALI0B01386g,2906775,,,non_metabolic,no
YALI1_B02465g,YALI0B01452g,2906977,,,non_metabolic,no
YALI1_B02472g,YALI0B01474g,2906934,,,non_metabolic,no
YALI1_B02696g,YALI0B01738g,2907353,,,non_metabolic,no
YALI1_B02874g,YALI0B01870g,2907152,,,non_metabolic,no
YALI1_B02881g,YALI0B01892g,2907255,,,non_metabolic,no
YALI1_B03335g,YALI0B02244g,2906824,,,non_metabolic,no
YALI1_B04123g,YALI0B02706g,2906997,,,non_metabolic,no
YALI1_B04200g,YALI0B02750g,2907254,,,non_metabolic,no
YALI1_B04321g,YALI0B02860g,2907541,,,non_metabolic,no
YALI1_B04497g,YALI0B03014g,2906794,,,non_metabolic,no
YALI1_B04502g,YALI0B03036g,2906953,,,non_metabolic,no
YALI1_B04937g,YALI0B03476g,2906743,,,non_metabolic,no
YALI1_B04974g,YALI0B03520g,2906798,,,non_metabolic,no
YALI1_B05420g,YALI0B04026g,2907438,,,non_metabolic,no
YALI1_B05438g,YALI0B04048g,2907371,,,non_metabolic,no
YALI1_B05454g,YALI0B04070g,2906618,,,non_metabolic,no
YALI1_B05646g,YALI0B04224g,2907480,,,non_metabolic,no
YALI1_B05690g,YALI0B04246g,2907430,,,non_metabolic,no
YALI1_B05995g,YALI0B04444g,2906707,,,non_metabolic,no
YALI1_B06735g,YALI0B04851g,7009397,,,non_metabolic,no
YALI1_B06745g,YALI0B04862g,2907549,,,non_metabolic,no
YALI1_B07675g,YALI0B05632g,2907450,,,non_metabolic,no
YALI1_B07843g,YALI0B05786g,2907627,,,non_metabolic,no
YALI1_B07937g,YALI0B05896g,2907215,,,non_metabolic,no
YALI1_B08186g,YALI0B06105g,7009400,,,non_metabolic,no
YALI1_B08193g,YALI0B06116g,2906656,,,non_metabolic,no
YALI1_B08438g,YALI0B06369g,2907157,,,non_metabolic,no
YALI1_B08580g,YALI0B06534g,2907044,,,non_metabolic,no
YALI1_B08616g,YALI0B06556g,2907409,,,non_metabolic,no
YALI1_B08627g,YALI0B06578g,2906804,,,non_metabolic,no
YALI1_B09238r,YALI0B07128r,7009405,,,non_metabolic,no
YALI1_B09448g,YALI0B07381g,2907195,,,non_metabolic,no
YALI1_B09708g,YALI0B07513g,2907387,,,non_metabolic,no
YALI1_B09894g,YALI0B07579g,2907144,,,non_metabolic,no
YALI1_B10145g,YALI0B07689g,2906951,,,non_metabolic,no
YALI1_B10552g,YALI0B08074g,2907442,,,non_metabolic,no
YALI1_B11083g,YALI0B08250g,2907269,,,non_metabolic,no
YALI1_B11200g,YALI0B08338g,2907095,,,non_metabolic,no
YALI1_B11484g,YALI0B08470g,2907317,,,non_metabolic,no
YALI1_B11519g,YALI0B08514g,2907382,,,non_metabolic,no
YALI1_B11788g,YALI0B08748g,2906969,,,non_metabolic,no
YALI1_B11853g,YALI0B08778g,2907080,,,non_metabolic,no
YALI1_B11934g,YALI0B08866g,2907613,,,non_metabolic,no
YALI1_B12057g,YALI0B08987g,2906814,,,non_metabolic,no
YALI1_B12451g,YALI0B09339g,2906894,,,non_metabolic,no
YALI1_B13137g,YALI0B09779g,2907475,,,non_metabolic,no
YALI1_B13355g,YALI0B09977g,2907587,,,non_metabolic,no
YALI1_B13536g,YALI0B10021g,2907242,,,non_metabolic,no
YALI1_B13586g,YALI0B10065g,2907173,,,non_metabolic,no
YALI1_B13828g,YALI0B10241g,2907561,,,non_metabolic,no
YALI1_B13886g,YALI0B10263g,2906688,,,non_metabolic,no
YALI1_B14150g,YALI0B10494g,2907600,,,non_metabolic,no
YALI1_B14194g,YALI0B10538g,2907117,,,non_metabolic,no
YALI1_B14325g,YALI0B10692g,2907313,,,non_metabolic,no
YALI1_B14441g,YALI0B10780g,2907524,,,non_metabolic,no
YALI1_B14658g,YALI0B10978g,2906879,,,non_metabolic,no
YALI1_B14680g,YALI0B11000g,2906875,,,non_metabolic,no
YALI1_B14686g,YALI0B11022g,2906876,,,non_metabolic,no
YALI1_B14804g,YALI0B11132g,2906974,,,non_metabolic,no
YALI1_B14924g,YALI0B11242g,2907082,,,non_metabolic,no
YALI1_B14993g,YALI0B11308g,2907259,,,non_metabolic,no
YALI1_B15310g,YALI0B11550g,2907378,,,non_metabolic,no
YALI1_B15482g,YALI0B11682g,2907518,,,non_metabolic,no
YALI1_B15964g,YALI0B12122g,2907175,,,non_metabolic,no
YALI1_B16068g,YALI0B12210g,2907163,,,non_metabolic,no
YALI1_B16375g,YALI0B12430g,2906909,,,non_metabolic,no
YALI1_B16410g,YALI0B12452g,2906910,,,non_metabolic,no
YALI1_B16446g,YALI0B12496g,2906869,,,non_metabolic,no
YALI1_B16584g,YALI0B12584g,2907028,,,non_metabolic,no
YALI1_B16968g,YALI0B12804g,2906723,,,non_metabolic,no
YALI1_B16996g,YALI0B12826g,2906719,,,non_metabolic,no
YALI1_B17008g,YALI0B12848g,2906720,,,non_metabolic,no
YALI1_B17493g,YALI0B13156g,2907456,,,non_metabolic,no
YALI1_B17805g,YALI0B13376g,2907525,,,non_metabolic,no
YALI1_B17908g,YALI0B13442g,2907415,,,non_metabolic,no
YALI1_B18207g,YALI0B13706g,2907305,,,non_metabolic,no
YALI1_B18260g,YALI0B13750g,2907087,,,non_metabolic,no
YALI1_B18368g,YALI0B13860g,2907057,,,non_metabolic,no
YALI1_B18613g,YALI0B14058g,2906954,,,non_metabolic,no
YALI1_B18707g,YALI0B14146g,2907031,,,non_metabolic,no
YALI1_B18741g,YALI0B14201g,2906805,,,non_metabolic,no
YALI1_B18798g,YALI0B14245g,2906807,,,non_metabolic,no
YALI1_B18930g,YALI0B14377g,2906839,,,non_metabolic,no
YALI1_B19120g,YALI0B14553g,2907436,,,non_metabolic,no
YALI1_B19388g,YALI0B14751g,2907220,,,non_metabolic,no
YALI1_B19390g,YALI0B14773g,90949584,,,non_metabolic,no
YALI1_B19567g,YALI0B14905g,2907347,,,non_metabolic,no
YALI1_B19897g,YALI0B15103g,2907336,,,non_metabolic,no
YALI1_B20009g,YALI0B15180g,2907335,,,non_metabolic,no
YALI1_B20192g,YALI0B15334g,2907319,,,non_metabolic,no
YALI1_B20205g,YALI0B15356g,2907320,,,non_metabolic,no
YALI1_B20242g,YALI0B15378g,2907321,,,non_metabolic,no
YALI1_B20243g,YALI0B15400g,2907594,,,non_metabolic,no
YALI1_B20717g,YALI0B15752g,2906940,,,non_metabolic,no
YALI1_B20834g,YALI0B15862g,2907039,,,non_metabolic,no
YALI1_B21323g,YALI0B16368g,2907515,,,non_metabolic,no
YALI1_B21628g,YALI0B16610g,2907365,,,non_metabolic,no
YALI1_B21819g,YALI0B16786g,2907138,,,non_metabolic,no
YALI1_B22020g,YALI0B16918g,2907092,,,non_metabolic,no
YALI1_B22088g,YALI0B16984g,2906948,,,non_metabolic,no
YALI1_B22109g,YALI0B17006g,2906949,,,non_metabolic,no
YALI1_B22266g,YALI0B17061g,7009415,,,non_metabolic,no
YALI1_B22452g,YALI0B17270g,2906634,,,non_metabolic,no
YALI1_B22598g,YALI0B17380g,2907497,,,non_metabolic,no
YALI1_B22697g,YALI0B17512g,2907281,,,non_metabolic,no
YALI1_B23055g,YALI0B17798g,2906992,,,non_metabolic,no
YALI1_B23176g,YALI0B17886g,2906987,,,non_metabolic,no
YALI1_B23351g,YALI0B18040g,2906881,,,non_metabolic,no
YALI1_B23373g,YALI0B18062g,2906882,,,non_metabolic,no
YALI1_B23609g,YALI0B18238g,2906671,,,non_metabolic,no
YALI1_B23933g,YALI0B18414g,2907374,,,non_metabolic,no
YALI1_B23981g,YALI0B18480g,2907392,,,non_metabolic,no
YALI1_B24654g,YALI0B18920g,2907033,,,non_metabolic,no
YALI1_B25187g,YALI0B19206g,2906826,,,non_metabolic,no
YALI1_B25676g,YALI0B19602g,2907248,,,non_metabolic,no
YALI1_B25734g,YALI0B19624g,2907243,,,non_metabolic,no
YALI1_B25762g,YALI0B19668g,2907149,,,non_metabolic,no
YALI1_B25798g,YALI0B19734g,2907130,,,non_metabolic,no
YALI1_B26430g,YALI0B20218g,2907047,,,non_metabolic,no
YALI1_B26451g,YALI0B20240g,2907048,,,non_metabolic,no
YALI1_B26808g,YALI0B20504g,2906617,,,non_metabolic,no
YALI1_B27009g,YALI0B20658g,2907398,,,non_metabolic,no
YALI1_B27015g,YALI0B20680g,2907286,,,non_metabolic,no
YALI1_B27102g,YALI0B20724g,2907288,,,non_metabolic,no
YALI1_B27454g,YALI0B21032g,2906642,,,non_metabolic,no
YALI1_B27485g,YALI0B21076g,2906644,,,non_metabolic,no
YALI1_B27662g,YALI0B21252g,2906701,,,non_metabolic,no
YALI1_B27777g,YALI0B21340g,2906863,,,non_metabolic,no
YALI1_B27857g,YALI0B21406g,2906830,,,non_metabolic,no
YALI1_B28744g,YALI0B22110g,2906706,,,non_metabolic,no
YALI1_B29051g,YALI0B22242g,2906638,,,non_metabolic,no
YALI1_B29108g,YALI0B22286g,2906864,,,non_metabolic,no
YALI1_B29507g,YALI0B22594g,2907482,,,non_metabolic,no
YALI1_B29539g,YALI0B22638g,2907290,,,non_metabolic,no
YALI1_B29548g,YALI0B22660g,2907615,,,non_metabolic,no
YALI1_B29905g,YALI0B22968g,2906945,,,non_metabolic,no
YALI1_B29977g,YALI0B23056g,2906978,,,non_metabolic,no
YALI1_C00739g,YALI0C00539g,2909177,,,non_metabolic,no
YALI1_C00913g,YALI0C00671g,2909183,,,non_metabolic,no
YALI1_C00958g,YALI0C00693g,2909186,,,non_metabolic,no
YALI1_C01297g,YALI0C00913g,2909173,,,non_metabolic,no
YALI1_C01810g,YALI0C01309g,2909164,,,non_metabolic,no
YALI1_C02831g,YALI0C02057g,2909101,,,non_metabolic,no
YALI1_C03582g,YALI0C02563g,2909088,,,non_metabolic,no
YALI1_C03988g,YALI0C02959g,2909055,,,non_metabolic,no
YALI1_C04302g,YALI0C03223g,2909277,,,non_metabolic,no
YALI1_C04389g,YALI0C03333g,2909279,,,non_metabolic,no
YALI1_C04436g,YALI0C03377g,2909284,,,non_metabolic,no
YALI1_C04553g,YALI0C03443g,2909285,,,non_metabolic,no
YALI1_C04570g,YALI0C03465g,2909288,,,non_metabolic,no
YALI1_C05125g,YALI0C03850g,2909920,,,non_metabolic,no
YALI1_C05133g,YALI0C03872g,2909673,,,non_metabolic,no
YALI1_C05820g,YALI0C04367g,2909399,,,non_metabolic,no
YALI1_C06414g,YALI0C04928g,2909547,,,non_metabolic,no
YALI1_C06511g,YALI0C05082g,2909552,,,non_metabolic,no
YALI1_C06597g,YALI0C05148g,2909370,,,non_metabolic,no
YALI1_C06716g,YALI0C05302g,2909375,,,non_metabolic,no
YALI1_C06870g,YALI0C05346g,2909376,,,non_metabolic,no
YALI1_C07109g,YALI0C05555g,2910100,,,non_metabolic,no
YALI1_C07239g,YALI0C05665g,2910105,,,non_metabolic,no
YALI1_C07451g,YALI0C05775g,2909798,,,non_metabolic,no
YALI1_C07948g,YALI0C06127g,2909235,,,non_metabolic,no
YALI1_C08242g,YALI0C06347g,2909308,,,non_metabolic,no
YALI1_C09094g,YALI0C06820g,2909224,,,non_metabolic,no
YALI1_C09150g,YALI0C06853g,7009437,,,non_metabolic,no
YALI1_C10492g,YALI0C07887g,2909780,,,non_metabolic,no
YALI1_C10555g,YALI0C07953g,2909783,,,non_metabolic,no
YALI1_C10718g,YALI0C08030g,2909785,,,non_metabolic,no
YALI1_C11925g,YALI0C08701g,2910012,,,non_metabolic,no
YALI1_C11930g,YALI0C08723g,2910013,,,non_metabolic,no
YALI1_C12642g,YALI0C09141g,2909710,,,non_metabolic,no
YALI1_C12695g,YALI0C09163g,2909711,,,non_metabolic,no
YALI1_C12788g,YALI0C09218g,2909714,,,non_metabolic,no
YALI1_C13000g,YALI0C09328g,2909760,,,non_metabolic,no
YALI1_C13186g,YALI0C09504g,2909768,,,non_metabolic,no
YALI1_C14079g,YALI0C10032g,2909454,,,non_metabolic,no
YALI1_C14169g,YALI0C10098g,2909457,,,non_metabolic,no
YALI1_C14774g,YALI0C10472g,2909471,,,non_metabolic,no
YALI1_C15077g,YALI0C10692g,2909358,,,non_metabolic,no
YALI1_C15186g,YALI0C10802g,2909363,,,non_metabolic,no
YALI1_C15201g,YALI0C10824g,2909364,,,non_metabolic,no
YALI1_C15217g,YALI0C10846g,2909365,,,non_metabolic,no
YALI1_C16108g,YALI0C11473g,2909427,,,non_metabolic,no
YALI1_C16204g,YALI0C11561g,2909431,,,non_metabolic,no
YALI1_C16395g,YALI0C11715g,2909266,,,non_metabolic,no
YALI1_C17680g,YALI0C12474g,2909385,,,non_metabolic,no
YALI1_C17800g,YALI0C12617g,2909507,,,non_metabolic,no
YALI1_C17820g,YALI0C12639g,2909508,,,non_metabolic,no
YALI1_C17848g,YALI0C12661g,2909509,,,non_metabolic,no
YALI1_C17949g,YALI0C12793g,2909514,,,non_metabolic,no
YALI1_C18892g,YALI0C13596g,2909206,,,non_metabolic,no
YALI1_C19005g,YALI0C13706g,2909210,,,non_metabolic,no
YALI1_C19529g,YALI0C13904g,2909720,,,non_metabolic,no
YALI1_C19981g,YALI0C14256g,2910052,,,non_metabolic,no
YALI1_C20180g,YALI0C14476g,2910061,,,non_metabolic,no
YALI1_C20314g,YALI0C14586g,2910066,,,non_metabolic,no
YALI1_C20329g,YALI0C14608g,2909733,,,non_metabolic,no
YALI1_C20488g,YALI0C14740g,2909739,,,non_metabolic,no
YALI1_C20646g,YALI0C14828g,2909743,,,non_metabolic,no
YALI1_C20953g,YALI0C14960g,2909343,,,non_metabolic,no
YALI1_C21634g,YALI0C15323g,7009457,,,non_metabolic,no
YALI1_C21682g,YALI0C15356g,2909502,,,non_metabolic,no
YALI1_C22835g,YALI0C15851g,2909440,,,non_metabolic,no
YALI1_C22857g,YALI0C15873g,2909441,,,non_metabolic,no
YALI1_C22922g,YALI0C15895g,2909442,,,non_metabolic,no
YALI1_C23040g,YALI0C16005g,2909243,,,non_metabolic,no
YALI1_C23050g,YALI0C16027g,2909244,,,non_metabolic,no
YALI1_C23415g,YALI0C16368g,2909744,,,non_metabolic,no
YALI1_C23504g,YALI0C16412g,2909746,,,non_metabolic,no
YALI1_C23548g,YALI0C16478g,2909749,,,non_metabolic,no
YALI1_C23755g,YALI0C16643g,2909291,,,non_metabolic,no
YALI1_C23873g,YALI0C16709g,2909294,,,non_metabolic,no
YALI1_C23989g,YALI0C16819g,2909299,,,non_metabolic,no
YALI1_C24081g,YALI0C16863g,2909301,,,non_metabolic,no
YALI1_C24707g,YALI0C17347g,2910069,,,non_metabolic,no
YALI1_C25629g,YALI0C18469g,2909980,,,non_metabolic,no
YALI1_C25829g,YALI0C18623g,2909958,,,non_metabolic,no
YALI1_C25979g,YALI0C18689g,2909504,,,non_metabolic,no
YALI1_C26138g,YALI0C18997g,2909970,,,non_metabolic,no
YALI1_C26408g,YALI0C19129g,2909949,,,non_metabolic,no
YALI1_C26794g,YALI0C19426g,2909936,,,non_metabolic,no
YALI1_C28063g,YALI0C20075g,2909896,,,non_metabolic,no
YALI1_C28147g,YALI0C20119g,2909898,,,non_metabolic,no
YALI1_C28434g,YALI0C20339g,2909878,,,non_metabolic,no
YALI1_C28706g,YALI0C20735g,2909862,,,non_metabolic,no
YALI1_C28716g,YALI0C20757g,2909863,,,non_metabolic,no
YALI1_C29141g,YALI0C21087g,2909853,,,non_metabolic,no
YALI1_C29148g,YALI0C21109g,2909851,,,non_metabolic,no
YALI1_C29158g,YALI0C21131g,2909852,,,non_metabolic,no
YALI1_C29810g,YALI0C21560g,2909823,,,non_metabolic,no
YALI1_C29983g,YALI0C21692g,2909829,,,non_metabolic,no
YALI1_C30130g,YALI0C21824g,2909835,,,non_metabolic,no
YALI1_C30181g,YALI0C21846g,2909836,,,non_metabolic,no
YALI1_C30287g,YALI0C21956g,2909816,,,non_metabolic,no
YALI1_C30399g,YALI0C22066g,2909819,,,non_metabolic,no
YALI1_C30632g,YALI0C22253g,2909691,,,non_metabolic,no
YALI1_C30946g,YALI0C22528g,2909664,,,non_metabolic,no
YALI1_C31281g,YALI0C22704g,2909670,,,non_metabolic,no
YALI1_C31684g,YALI0C22946g,2909640,,,non_metabolic,no
YALI1_C31900g,YALI0C23100g,2909624,,,non_metabolic,no
YALI1_C31971g,YALI0C23144g,2909623,,,non_metabolic,no
YALI1_C31989g,YALI0C23166g,2909627,,,non_metabolic,no
YALI1_C32049g,YALI0C23232g,2909629,,,non_metabolic,no
YALI1_C32706g,YALI0C23683g,2909591,,,non_metabolic,no
YALI1_C32823g,YALI0C23815g,2909597,,,non_metabolic,no
YALI1_C32921g,YALI0C23903g,2909600,,,non_metabolic,no
YALI1_C32975g,YALI0C23947g,2909602,,,non_metabolic,no
YALI1_C33098g,YALI0C24057g,2909577,,,non_metabolic,no
YALI1_C33100g,YALI0C24079g,2909578,,,non_metabolic,no
YALI1_C33314g,YALI0C24277g,2909587,,,non_metabolic,no
YALI1_D00273g,YALI0D00275g,2910377,,,non_metabolic,no
YALI1_D00577g,YALI0D00561g,2910395,,,non_metabolic,no
YALI1_D00747g,YALI0D00693g,2910401,,,non_metabolic,no
YALI1_D00951g,YALI0D00891g,2910294,,,non_metabolic,no
YALI1_D00995g,YALI0D00935g,2910410,,,non_metabolic,no
YALI1_D01094g,YALI0D01045g,2910309,,,non_metabolic,no
YALI1_D01298g,YALI0D01133g,2910418,,,non_metabolic,no
YALI1_D01305g,YALI0D01155g,2910419,,,non_metabolic,no
YALI1_D01317g,YALI0D01177g,2910420,,,non_metabolic,no
YALI1_D01890g,YALI0D01573g,2910465,,,non_metabolic,no
YALI1_D01960g,YALI0D01606g,2910467,,,non_metabolic,no
YALI1_D02085g,YALI0D01782g,2910474,,,non_metabolic,no
YALI1_D02087g,YALI0D01804g,2910475,,,non_metabolic,no
YALI1_D02221g,YALI0D02002g,2910483,,,non_metabolic,no
YALI1_D02316g,YALI0D02046g,2910485,,,non_metabolic,no
YALI1_D02348g,YALI0D02079g,2910487,,,non_metabolic,no
YALI1_D03380g,YALI0D02717g,2910539,,,non_metabolic,no
YALI1_D03575g,YALI0D02805g,2910543,,,non_metabolic,no
YALI1_D03604g,YALI0D02827g,2910544,,,non_metabolic,no
YALI1_D03756g,YALI0D02937g,2910549,,,non_metabolic,no
YALI1_D03766g,YALI0D02959g,2910550,,,non_metabolic,no
YALI1_D03990g,YALI0D03157g,2910564,,,non_metabolic,no
YALI1_D04277g,YALI0D03355g,2910571,,,non_metabolic,no
YALI1_D04772g,YALI0D03762g,2910588,,,non_metabolic,no
YALI1_D04901g,YALI0D03916g,2910593,,,non_metabolic,no
YALI1_D05070g,YALI0D04048g,2910598,,,non_metabolic,no
YALI1_D05538g,YALI0D04444g,2910639,,,non_metabolic,no
YALI1_D05822g,YALI0D04719g,2910651,,,non_metabolic,no
YALI1_D06311g,YALI0D04961g,2910662,,,non_metabolic,no
YALI1_D06665g,YALI0D05093g,2910971,,,non_metabolic,no
YALI1_D06859g,YALI0D05313g,2910981,,,non_metabolic,no
YALI1_D07124g,YALI0D05511g,2911027,,,non_metabolic,no
YALI1_D07162g,YALI0D05547g,2911029,,,non_metabolic,no
YALI1_D07182g,YALI0D05577g,2911030,,,non_metabolic,no
YALI1_D07338g,YALI0D05697g,7009494,,,non_metabolic,no
YALI1_D07348g,YALI0D05731g,2911037,,,non_metabolic,no
YALI1_D07379g,YALI0D05753g,2911038,,,non_metabolic,no
YALI1_D07427g,YALI0D05775g,2911039,,,non_metabolic,no
YALI1_D08251g,YALI0D06435g,2910488,,,non_metabolic,no
YALI1_D08285g,YALI0D06457g,2910489,,,non_metabolic,no
YALI1_D08715g,YALI0D06776g,2910504,,,non_metabolic,no
YALI1_D08749g,YALI0D06820g,2910506,,,non_metabolic,no
YALI1_D08843g,YALI0D06886g,2910785,,,non_metabolic,no
YALI1_D09667g,YALI0D07524g,2910898,,,non_metabolic,no
YALI1_D09790g,YALI0D07590g,2910901,,,non_metabolic,no
YALI1_D09964g,YALI0D07700g,2910906,,,non_metabolic,no
YALI1_D10033g,YALI0D07788g,2910940,,,non_metabolic,no
YALI1_D10458g,YALI0D08184g,2910695,,,non_metabolic,no
YALI1_D10600g,YALI0D08272g,2911067,,,non_metabolic,no
YALI1_D10858g,YALI0D08448g,2910705,,,non_metabolic,no
YALI1_D10865g,YALI0D08470g,2910706,,,non_metabolic,no
YALI1_D11034g,YALI0D08580g,2910711,,,non_metabolic,no
YALI1_D11087g,YALI0D08624g,2910713,,,non_metabolic,no
YALI1_D11091g,YALI0D08635g,7009498,,,non_metabolic,no
YALI1_D11242g,YALI0D08756g,2910673,,,non_metabolic,no
YALI1_D11437g,YALI0D08954g,2910682,,,non_metabolic,no
YALI1_D11442g,YALI0D08976g,2910683,,,non_metabolic,no
YALI1_D11479g,YALI0D08998g,2910684,,,non_metabolic,no
YALI1_D11614g,YALI0D09119g,2910831,,,non_metabolic,no
YALI1_D11633g,YALI0D09163g,2910833,,,non_metabolic,no
YALI1_D12147g,YALI0D09603g,2910913,,,non_metabolic,no
YALI1_D12172g,YALI0D09625g,2910914,,,non_metabolic,no
YALI1_D12483g,YALI0D09845g,2910924,,,non_metabolic,no
YALI1_D12543g,YALI0D09911g,2910927,,,non_metabolic,no
YALI1_D12630g,YALI0D09977g,2910930,,,non_metabolic,no
YALI1_D12646g,YALI0D09999g,2910931,,,non_metabolic,no
YALI1_D12750g,YALI0D10065g,2910993,,,non_metabolic,no
YALI1_D12790g,YALI0D10104g,2910995,,,non_metabolic,no
YALI1_D12930g,YALI0D10263g,2911002,,,non_metabolic,no
YALI1_D12996g,YALI0D10307g,2911004,,,non_metabolic,no
YALI1_D13226g,YALI0D10571g,2910430,,,non_metabolic,no
YALI1_D13611g,YALI0D10879g,2910444,,,non_metabolic,no
YALI1_D13679g,YALI0D10901g,2910445,,,non_metabolic,no
YALI1_D13790g,YALI0D11000g,2910721,,,non_metabolic,no
YALI1_D13976g,YALI0D11125g,7009506,,,non_metabolic,no
YALI1_D14004g,YALI0D11132g,2910727,,,non_metabolic,no
YALI1_D14276g,YALI0D11396g,2910351,,,non_metabolic,no
YALI1_D14300g,YALI0D11418g,2910352,,,non_metabolic,no
YALI1_D14462g,YALI0D11627g,7009507,,,non_metabolic,no
YALI1_D14609g,YALI0D11770g,2910368,,,non_metabolic,no
YALI1_D14695g,YALI0D11858g,2910305,,,non_metabolic,no
YALI1_D14840g,YALI0D11968g,2910606,,,non_metabolic,no
YALI1_D15114g,YALI0D12144g,2910614,,,non_metabolic,no
YALI1_D15333g,YALI0D12320g,2910133,,,non_metabolic,no
YALI1_D15622g,YALI0D12518g,2910143,,,non_metabolic,no
YALI1_D15744g,YALI0D12606g,2910147,,,non_metabolic,no
YALI1_D15897g,YALI0D12705g,2911257,,,non_metabolic,no
YALI1_D15952g,YALI0D12771g,2911260,,,non_metabolic,no
YALI1_D16029g,YALI0D12903g,2911266,,,non_metabolic,no
YALI1_D16173g,YALI0D13046g,2911273,,,non_metabolic,no
YALI1_D16249g,YALI0D13104g,2910810,,,non_metabolic,no
YALI1_D16431g,YALI0D13178g,2910814,,,non_metabolic,no
YALI1_D16609g,YALI0D13442g,2910825,,,non_metabolic,no
YALI1_D16656g,YALI0D13464g,2910826,,,non_metabolic,no
YALI1_D16932g,YALI0D13684g,2910257,,,non_metabolic,no
YALI1_D16981g,YALI0D13706g,2910258,,,non_metabolic,no
YALI1_D17030g,YALI0D13728g,2910259,,,non_metabolic,no
YALI1_D17051g,YALI0D13750g,2910260,,,non_metabolic,no
YALI1_D17108g,YALI0D13794g,2910262,,,non_metabolic,no
YALI1_D17206g,YALI0D13882g,2910266,,,non_metabolic,no
YALI1_D17410g,YALI0D14102g,2910230,,,non_metabolic,no
YALI1_D17493g,YALI0D14344g,2910237,,,non_metabolic,no
YALI1_D17564g,YALI0D14410g,2910240,,,non_metabolic,no
YALI1_D18190g,YALI0D14982g,2911334,,,non_metabolic,no
YALI1_D18555g,YALI0D15246g,2910752,,,non_metabolic,no
YALI1_D19087g,YALI0D15576g,2910169,,,non_metabolic,no
YALI1_D20118g,YALI0D16291g,2911290,,,non_metabolic,no
YALI1_D20304g,YALI0D16401g,2911294,,,non_metabolic,no
YALI1_D20840g,YALI0D16885g,2910213,,,non_metabolic,no
YALI1_D21076g,YALI0D17116g,2911223,,,non_metabolic,no
YALI1_D21167g,YALI0D17204g,2911227,,,non_metabolic,no
YALI1_D21565g,YALI0D17600g,2911306,,,non_metabolic,no
YALI1_D21847g,YALI0D17776g,2911314,,,non_metabolic,no
YALI1_D22157g,YALI0D17886g,2911090,,,non_metabolic,no
YALI1_D22247g,YALI0D17952g,2911093,,,non_metabolic,no
YALI1_D22368g,YALI0D18018g,2911097,,,non_metabolic,no
YALI1_D23274g,YALI0D18612g,2911125,,,non_metabolic,no
YALI1_D24138g,YALI0D19074g,2911151,,,non_metabolic,no
YALI1_D24687g,YALI0D19448g,2911166,,,non_metabolic,no
YALI1_D25216g,YALI0D19910g,2911189,,,non_metabolic,no
YALI1_D25370g,YALI0D20086g,2911197,,,non_metabolic,no
YALI1_D25419g,YALI0D20130g,2910311,,,non_metabolic,no
